run_id,algorithm,measure,stop_threshold,serial_threshold,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
1,WCA,UEMNM,100,100,,82.25315355,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf
2,WCA,UEMNM,25,100,,82.25315355,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-25.rsf
3,WCA,UEMNM,50,100,,82.25315355,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-50.rsf
4,WCA,UEMNM,75,100,,82.25315355,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-75.rsf
5,WCA,UEMNM,100,110,,81.07405803,0.027272727,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-100.rsf
6,WCA,UEMNM,25,110,,81.07405803,0.027272727,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-25.rsf
7,WCA,UEMNM,50,110,,81.07405803,0.027272727,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf
8,WCA,UEMNM,75,110,,81.07405803,0.027272727,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf
9,WCA,UEMNM,100,120,,80.29322984,0.025,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-100.rsf
10,WCA,UEMNM,25,120,,80.29322984,0.025,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-25.rsf
11,WCA,UEMNM,50,120,,80.29322984,0.025,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-50.rsf
12,WCA,UEMNM,75,120,,80.29322984,0.025,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-75.rsf
13,WCA,UEMNM,100,130,,79.64791756,0.030769231,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-100.rsf
14,WCA,UEMNM,25,130,,79.64791756,0.030769231,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-25.rsf
15,WCA,UEMNM,50,130,,79.64791756,0.030769231,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-50.rsf
16,WCA,UEMNM,75,130,,79.64791756,0.030769231,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-75.rsf
17,WCA,UEMNM,100,140,,78.87986319,0.028571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-100.rsf
18,WCA,UEMNM,25,140,,78.87986319,0.028571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-25.rsf
19,WCA,UEMNM,50,140,,78.87986319,0.028571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-50.rsf
20,WCA,UEMNM,75,140,,78.87986319,0.028571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-75.rsf
21,WCA,UEMNM,100,150,,78.37377607,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-100.rsf
22,WCA,UEMNM,25,150,,78.37377607,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-25.rsf
23,WCA,UEMNM,50,150,,78.37377607,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-50.rsf
24,WCA,UEMNM,75,150,,78.37377607,0.02,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-75.rsf
25,WCA,UEMNM,25,25,,80.08093525,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-25_stop-25.rsf
26,WCA,UEMNM,25,50,,78.61271676,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-25.rsf
27,WCA,UEMNM,50,50,,78.61271676,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-50.rsf
28,WCA,UEMNM,25,75,,83.81706245,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-25.rsf
29,WCA,UEMNM,50,75,,83.81706245,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-50.rsf
30,WCA,UEMNM,75,75,,83.81706245,0,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-75.rsf
31,WCA,UEMNM,25,80,,84.59850812,0.0125,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-25.rsf
32,WCA,UEMNM,50,80,,84.59850812,0.0125,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-50.rsf
33,WCA,UEMNM,75,80,,84.59850812,0.0125,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-75.rsf
34,WCA,UEMNM,25,90,,83.70467453,0.033333333,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-25.rsf
35,WCA,UEMNM,50,90,,83.70467453,0.033333333,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-50.rsf
36,WCA,UEMNM,75,90,,83.70467453,0.033333333,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-75.rsf
37,WCA,UEM,100,100,,81.64419313,0.02,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-100.rsf
38,WCA,UEM,25,100,,81.64419313,0.02,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-25.rsf
39,WCA,UEM,50,100,,81.64419313,0.02,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-50.rsf
40,WCA,UEM,75,100,,81.64419313,0.02,mapreduceclientcore_algo-wca_measure-uem_serial-100_stop-75.rsf
41,WCA,UEM,100,110,,80.55435253,0.027272727,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-100.rsf
42,WCA,UEM,25,110,,80.55435253,0.027272727,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-25.rsf
43,WCA,UEM,50,110,,80.55435253,0.027272727,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-50.rsf
44,WCA,UEM,75,110,,80.55435253,0.027272727,mapreduceclientcore_algo-wca_measure-uem_serial-110_stop-75.rsf
45,WCA,UEM,100,120,,79.68952135,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-100.rsf
46,WCA,UEM,25,120,,79.68952135,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-25.rsf
47,WCA,UEM,50,120,,79.68952135,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-50.rsf
48,WCA,UEM,75,120,,79.68952135,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-120_stop-75.rsf
49,WCA,UEM,100,130,,78.83211679,0.015384615,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-100.rsf
50,WCA,UEM,25,130,,78.83211679,0.015384615,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-25.rsf
51,WCA,UEM,50,130,,78.83211679,0.015384615,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-50.rsf
52,WCA,UEM,75,130,,78.83211679,0.015384615,mapreduceclientcore_algo-wca_measure-uem_serial-130_stop-75.rsf
53,WCA,UEM,100,140,,78.06755024,0.014285714,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-100.rsf
54,WCA,UEM,25,140,,78.06755024,0.014285714,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-25.rsf
55,WCA,UEM,50,140,,78.06755024,0.014285714,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-50.rsf
56,WCA,UEM,75,140,,78.06755024,0.014285714,mapreduceclientcore_algo-wca_measure-uem_serial-140_stop-75.rsf
57,WCA,UEM,100,150,,77.35206471,0.013333333,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-100.rsf
58,WCA,UEM,25,150,,77.35206471,0.013333333,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-25.rsf
59,WCA,UEM,50,150,,77.35206471,0.013333333,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-50.rsf
60,WCA,UEM,75,150,,77.35206471,0.013333333,mapreduceclientcore_algo-wca_measure-uem_serial-150_stop-75.rsf
61,WCA,UEM,25,25,,80.08093525,0,mapreduceclientcore_algo-wca_measure-uem_serial-25_stop-25.rsf
62,WCA,UEM,25,50,,78.61271676,0,mapreduceclientcore_algo-wca_measure-uem_serial-50_stop-25.rsf
63,WCA,UEM,50,50,,78.61271676,0,mapreduceclientcore_algo-wca_measure-uem_serial-50_stop-50.rsf
64,WCA,UEM,25,75,,84.30079156,0,mapreduceclientcore_algo-wca_measure-uem_serial-75_stop-25.rsf
65,WCA,UEM,50,75,,84.30079156,0,mapreduceclientcore_algo-wca_measure-uem_serial-75_stop-50.rsf
66,WCA,UEM,75,75,,84.30079156,0,mapreduceclientcore_algo-wca_measure-uem_serial-75_stop-75.rsf
67,WCA,UEM,25,80,,84.86178148,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-80_stop-25.rsf
68,WCA,UEM,50,80,,84.86178148,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-80_stop-50.rsf
69,WCA,UEM,75,80,,84.86178148,0.025,mapreduceclientcore_algo-wca_measure-uem_serial-80_stop-75.rsf
70,WCA,UEM,25,90,,83.39886413,0.033333333,mapreduceclientcore_algo-wca_measure-uem_serial-90_stop-25.rsf
71,WCA,UEM,50,90,,83.39886413,0.033333333,mapreduceclientcore_algo-wca_measure-uem_serial-90_stop-50.rsf
72,WCA,UEM,75,90,,83.39886413,0.033333333,mapreduceclientcore_algo-wca_measure-uem_serial-90_stop-75.rsf
73,LIMBO,IL,100,100,,78.338408,0.01,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-100.rsf
74,LIMBO,IL,25,100,,78.338408,0.01,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-25.rsf
75,LIMBO,IL,50,100,,78.338408,0.01,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-50.rsf
76,LIMBO,IL,75,100,,78.338408,0.01,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-75.rsf
77,LIMBO,IL,100,110,,77.6093547,0.009090909,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-100.rsf
78,LIMBO,IL,25,110,,77.6093547,0.009090909,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-25.rsf
79,LIMBO,IL,50,110,,77.6093547,0.009090909,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-50.rsf
80,LIMBO,IL,75,110,,77.6093547,0.009090909,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-75.rsf
81,LIMBO,IL,25,25,,85.52158273,0.08,mapreduceclientcore_algo-limbo_measure-il_serial-25_stop-25.rsf
82,LIMBO,IL,25,30,,85.73351279,0.066666667,mapreduceclientcore_algo-limbo_measure-il_serial-30_stop-25.rsf
83,LIMBO,IL,25,40,,85.17195176,0.05,mapreduceclientcore_algo-limbo_measure-il_serial-40_stop-25.rsf
84,LIMBO,IL,25,50,,84.17074255,0.02,mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf
85,LIMBO,IL,50,50,,84.17074255,0.02,mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-50.rsf
86,LIMBO,IL,25,60,,83.17839752,0.016666667,mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-25.rsf
87,LIMBO,IL,50,60,,83.17839752,0.016666667,mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-50.rsf
88,LIMBO,IL,25,70,,82.23887175,0.014285714,mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-25.rsf
89,LIMBO,IL,50,70,,82.23887175,0.014285714,mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-50.rsf
90,LIMBO,IL,25,80,,81.21983326,0.0125,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-25.rsf
91,LIMBO,IL,50,80,,81.21983326,0.0125,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-50.rsf
92,LIMBO,IL,75,80,,81.21983326,0.0125,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-75.rsf
93,LIMBO,IL,25,90,,79.42332896,0.011111111,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-25.rsf
94,LIMBO,IL,50,90,,79.42332896,0.011111111,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-50.rsf
95,LIMBO,IL,75,90,,79.42332896,0.011111111,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-75.rsf
