Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,5
org.apache.hadoop.mapreduce.TaskCounter,0
org.apache.hadoop.mapreduce.OutputCommitter,9
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,9
org.apache.hadoop.mapreduce.Counters,3
org.apache.hadoop.mapreduce.ID,0
org.apache.hadoop.mapreduce.SharedCacheConfig,3
org.apache.hadoop.mapreduce.JobSubmissionFiles,0
org.apache.hadoop.mapreduce.TaskInputOutputContext,9
org.apache.hadoop.mapreduce.MRJobConfig,3
org.apache.hadoop.mapreduce.JobSubmitter,9
org.apache.hadoop.mapreduce.ClusterMetrics,0
org.apache.hadoop.mapreduce.MapContext,3
org.apache.hadoop.mapreduce.MarkableIterator,3
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,0
org.apache.hadoop.mapreduce.FileSystemCounter,0
org.apache.hadoop.mapreduce.MarkableIteratorInterface,3
org.apache.hadoop.mapreduce.OutputFormat,9
org.apache.hadoop.mapreduce.QueueInfo,0
org.apache.hadoop.mapreduce.Mapper,3
org.apache.hadoop.mapreduce.RecordWriter,9
org.apache.hadoop.mapreduce.TaskType,0
org.apache.hadoop.mapreduce.JobPriority,0
org.apache.hadoop.mapreduce.JobContext,9
org.apache.hadoop.mapreduce.JobResourceUploader,9
org.apache.hadoop.mapreduce.CryptoUtils,9
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,0
org.apache.hadoop.mapreduce.JobID,0
org.apache.hadoop.mapreduce.TaskAttemptContext,5
org.apache.hadoop.mapreduce.QueueState,0
org.apache.hadoop.mapreduce.Cluster,5
org.apache.hadoop.mapreduce.InputSplit,10
org.apache.hadoop.mapreduce.StatusReporter,0
org.apache.hadoop.mapreduce.MRConfig,3
org.apache.hadoop.mapreduce.Counter,3
org.apache.hadoop.mapreduce.InputFormat,9
org.apache.hadoop.mapreduce.Job,5
