Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,0
org.apache.hadoop.mapreduce.TaskCounter,3
org.apache.hadoop.mapreduce.OutputCommitter,4
org.apache.hadoop.mapreduce.TaskReport,2
org.apache.hadoop.mapreduce.RecordReader,8
org.apache.hadoop.mapreduce.Counters,3
org.apache.hadoop.mapreduce.ID,2
org.apache.hadoop.mapreduce.SharedCacheConfig,0
org.apache.hadoop.mapreduce.JobSubmissionFiles,0
org.apache.hadoop.mapreduce.TaskInputOutputContext,1
org.apache.hadoop.mapreduce.MRJobConfig,0
org.apache.hadoop.mapreduce.JobSubmitter,0
org.apache.hadoop.mapreduce.ClusterMetrics,0
org.apache.hadoop.mapreduce.MapContext,1
org.apache.hadoop.mapreduce.MarkableIterator,1
org.apache.hadoop.mapreduce.TaskCompletionEvent,2
org.apache.hadoop.mapreduce.JobStatus,0
org.apache.hadoop.mapreduce.FileSystemCounter,0
org.apache.hadoop.mapreduce.MarkableIteratorInterface,1
org.apache.hadoop.mapreduce.OutputFormat,4
org.apache.hadoop.mapreduce.QueueInfo,0
org.apache.hadoop.mapreduce.Mapper,8
org.apache.hadoop.mapreduce.RecordWriter,4
org.apache.hadoop.mapreduce.TaskType,0
org.apache.hadoop.mapreduce.JobPriority,0
org.apache.hadoop.mapreduce.JobContext,0
org.apache.hadoop.mapreduce.JobResourceUploader,0
org.apache.hadoop.mapreduce.CryptoUtils,6
org.apache.hadoop.mapreduce.TaskTrackerInfo,2
org.apache.hadoop.mapreduce.TaskAttemptID,2
org.apache.hadoop.mapreduce.JobID,2
org.apache.hadoop.mapreduce.TaskAttemptContext,2
org.apache.hadoop.mapreduce.QueueState,0
org.apache.hadoop.mapreduce.Cluster,0
org.apache.hadoop.mapreduce.InputSplit,8
org.apache.hadoop.mapreduce.StatusReporter,0
org.apache.hadoop.mapreduce.MRConfig,0
org.apache.hadoop.mapreduce.Counter,3
org.apache.hadoop.mapreduce.InputFormat,8
org.apache.hadoop.mapreduce.Job,0
org.apache.hadoop.mapreduce.Partitioner,8
org.apache.hadoop.mapreduce.ReduceContext,1
org.apache.hadoop.mapreduce.JobACL,0
org.apache.hadoop.mapreduce.CounterGroup,0
org.apache.hadoop.mapreduce.TaskID,2
org.apache.hadoop.mapreduce.Reducer,1
org.apache.hadoop.mapreduce.JobCounter,3
org.apache.hadoop.mapreduce.QueueAclsInfo,0
org.apache.hadoop.mapreduce.CustomJobEndNotifier,5
org.apache.hadoop.filecache.package-info,0
org.apache.hadoop.filecache.DistributedCache,0
org.apache.hadoop.mapred.IFileInputStream,4
org.apache.hadoop.mapred.InvalidFileTypeException,0
org.apache.hadoop.mapred.OutputCommitter,4
org.apache.hadoop.mapred.RamManager,0
org.apache.hadoop.mapred.TaskReport,2
org.apache.hadoop.mapred.RecordReader,8
org.apache.hadoop.mapred.Counters,3
org.apache.hadoop.mapred.ID,2
org.apache.hadoop.mapred.SequenceFileInputFormat,8
org.apache.hadoop.mapred.JvmContext,2
org.apache.hadoop.mapred.FileOutputFormat,4
org.apache.hadoop.mapred.KeyValueLineRecordReader,8
org.apache.hadoop.mapred.AMFeedback,2
org.apache.hadoop.mapred.MapOutputCollector,4
org.apache.hadoop.mapred.SequenceFileOutputFormat,4
org.apache.hadoop.mapred.TaskCompletionEvent,2
org.apache.hadoop.mapred.JobStatus,0
org.apache.hadoop.mapred.MapRunner,8
org.apache.hadoop.mapred.MapTaskStatus,2
org.apache.hadoop.mapred.JobACLsManager,0
org.apache.hadoop.mapred.IFile,1
org.apache.hadoop.mapred.ProgressSplitsBlock,3
org.apache.hadoop.mapred.JobInProgress,0
org.apache.hadoop.mapred.QueueConfigurationParser,0
org.apache.hadoop.mapred.FileSplit,8
org.apache.hadoop.mapred.StatisticsCollector,3
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,8
org.apache.hadoop.mapred.OutputFormat,4
org.apache.hadoop.mapred.IndexCache,0
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,8
org.apache.hadoop.mapred.MapRunnable,8
org.apache.hadoop.mapred.JobEndNotifier,5
org.apache.hadoop.mapred.JobConfigurable,0
org.apache.hadoop.mapred.Mapper,8
org.apache.hadoop.mapred.RecordWriter,4
org.apache.hadoop.mapred.InputSplitWithLocationInfo,0
org.apache.hadoop.mapred.JvmTask,2
org.apache.hadoop.mapred.Reporter,2
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,2
org.apache.hadoop.mapred.LocatedFileStatusFetcher,1
org.apache.hadoop.mapred.BackupStore,1
org.apache.hadoop.mapred.FixedLengthRecordReader,8
org.apache.hadoop.mapred.JobPriority,0
org.apache.hadoop.mapred.JobContext,0
org.apache.hadoop.mapred.MultiFileSplit,8
org.apache.hadoop.mapred.TextInputFormat,8
org.apache.hadoop.mapred.QueueRefresher,5
org.apache.hadoop.mapred.BufferSorter,1
org.apache.hadoop.mapred.SequenceFileRecordReader,8
org.apache.hadoop.mapred.CleanupQueue,5
org.apache.hadoop.mapred.MultiFileInputFormat,8
org.apache.hadoop.mapred.TaskAttemptID,2
org.apache.hadoop.mapred.CumulativePeriodicStats,3
org.apache.hadoop.mapred.KeyValueTextInputFormat,8
org.apache.hadoop.mapred.DeprecatedQueueConfigurationParser,0
org.apache.hadoop.mapred.SequenceFileAsBinaryInputFormat,1
org.apache.hadoop.mapred.LineRecordReader,1
org.apache.hadoop.mapred.SequenceFileAsBinaryOutputFormat,1
org.apache.hadoop.mapred.FileOutputCommitter,4
org.apache.hadoop.mapred.SkipBadRecords,0
org.apache.hadoop.mapred.RunningJob,0
org.apache.hadoop.mapred.SplitLocationInfo,0
org.apache.hadoop.mapred.MROutputFiles,1
org.apache.hadoop.mapred.JobID,2
org.apache.hadoop.mapred.IndexRecord,0
org.apache.hadoop.mapred.TaskAttemptContext,0
org.apache.hadoop.mapred.MRConstants,0
org.apache.hadoop.mapred.TaskAttemptContextImpl,2
org.apache.hadoop.mapred.Clock,0
org.apache.hadoop.mapred.ShuffleConsumerPlugin,1
org.apache.hadoop.mapred.JobProfile,2
org.apache.hadoop.mapred.InputSplit,8
org.apache.hadoop.mapred.InvalidInputException,1
org.apache.hadoop.mapred.Merger,1
org.apache.hadoop.mapred.InvalidJobConfException,0
org.apache.hadoop.mapred.PeriodicStatsAccumulator,3
org.apache.hadoop.mapred.Utils,4
org.apache.hadoop.mapred.FileAlreadyExistsException,0
org.apache.hadoop.mapred.JobContextImpl,0
org.apache.hadoop.mapred.OutputCollector,4
org.apache.hadoop.mapred.TaskLog,1
org.apache.hadoop.mapred.JVMId,2
org.apache.hadoop.mapred.JobQueueClient,0
org.apache.hadoop.mapred.JobTracker,0
org.apache.hadoop.mapred.ReduceTaskStatus,2
org.apache.hadoop.mapred.ClusterStatus,0
org.apache.hadoop.mapred.Task,1
org.apache.hadoop.mapred.FixedLengthInputFormat,8
org.apache.hadoop.mapred.SequenceFileInputFilter,8
org.apache.hadoop.mapred.MapOutputFile,1
org.apache.hadoop.mapred.InputFormat,8
org.apache.hadoop.mapred.JobQueueInfo,0
org.apache.hadoop.mapred.ReduceTask,1
org.apache.hadoop.mapred.TaskUmbilicalProtocol,1
org.apache.hadoop.mapred.Partitioner,8
org.apache.hadoop.mapred.Operation,0
org.apache.hadoop.mapred.JobConf,1
org.apache.hadoop.mapred.OutputLogFilter,4
org.apache.hadoop.mapred.QueueACL,0
org.apache.hadoop.mapred.RawKeyValueIterator,1
org.apache.hadoop.mapred.StatePeriodicStats,3
org.apache.hadoop.mapred.QueueManager,0
org.apache.hadoop.mapred.TaskID,2
org.apache.hadoop.mapred.Reducer,1
org.apache.hadoop.mapred.MapTask,1
org.apache.hadoop.mapred.JobClient,0
org.apache.hadoop.mapred.Master,0
org.apache.hadoop.mapred.BasicTypeSorterBase,1
org.apache.hadoop.mapred.QueueAclsInfo,0
org.apache.hadoop.mapred.JobInfo,2
org.apache.hadoop.mapred.TIPStatus,0
org.apache.hadoop.mapred.TaskStatus,0
org.apache.hadoop.mapred.TextOutputFormat,4
org.apache.hadoop.mapred.SpillRecord,1
org.apache.hadoop.mapred.Queue,0
org.apache.hadoop.mapred.MapReduceBase,4
org.apache.hadoop.mapred.SortedRanges,1
org.apache.hadoop.mapred.FileInputFormat,1
org.apache.hadoop.mapred.MergeSorter,1
org.apache.hadoop.mapred.MapFileOutputFormat,4
org.apache.hadoop.mapred.IFileOutputStream,4
org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,2
org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,2
org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,0
org.apache.hadoop.mapreduce.jobhistory.EventWriter,2
org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,0
org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,2
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,2
org.apache.hadoop.mapreduce.jobhistory.HumanReadableHistoryViewerPrinter,2
org.apache.hadoop.mapreduce.jobhistory.package-info,0
org.apache.hadoop.mapreduce.jobhistory.HistoryEvent,2
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptStartedEvent,2
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptFinishedEvent,2
org.apache.hadoop.mapreduce.jobhistory.EventReader,2
org.apache.hadoop.mapreduce.jobhistory.JobInitedEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobPriorityChangeEvent,2
org.apache.hadoop.mapreduce.jobhistory.TaskUpdatedEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobSubmittedEvent,2
org.apache.hadoop.mapreduce.jobhistory.NormalizedResourceEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobInfoChangeEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobFinishedEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobUnsuccessfulCompletionEvent,2
org.apache.hadoop.mapreduce.jobhistory.MapAttemptFinishedEvent,2
org.apache.hadoop.mapreduce.jobhistory.HistoryViewerPrinter,2
org.apache.hadoop.mapreduce.jobhistory.JSONHistoryViewerPrinter,2
org.apache.hadoop.mapreduce.jobhistory.JobQueueChangeEvent,2
org.apache.hadoop.mapreduce.jobhistory.JobStatusChangedEvent,2
org.apache.hadoop.mapreduce.jobhistory.AMStartedEvent,2
org.apache.hadoop.mapreduce.jobhistory.ReduceAttemptFinishedEvent,2
org.apache.hadoop.mapreduce.jobhistory.HistoryViewer,2
org.apache.hadoop.mapreduce.split.JobSplit,8
org.apache.hadoop.mapreduce.split.JobSplitWriter,8
org.apache.hadoop.mapreduce.split.package-info,0
org.apache.hadoop.mapreduce.split.SplitMetaInfoReader,8
org.apache.hadoop.mapreduce.task.MapContextImpl,0
org.apache.hadoop.mapreduce.task.ReduceContextImpl,0
org.apache.hadoop.mapreduce.task.package-info,0
org.apache.hadoop.mapreduce.task.TaskInputOutputContextImpl,0
org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl,2
org.apache.hadoop.mapreduce.task.JobContextImpl,0
org.apache.hadoop.mapreduce.security.TokenCache,6
org.apache.hadoop.mapreduce.security.SecureShuffleUtils,6
org.apache.hadoop.mapreduce.security.package-info,0
org.apache.hadoop.mapreduce.security.SpillCallBackPathsFinder,0
org.apache.hadoop.mapreduce.security.SpillCallBackInjector,0
org.apache.hadoop.mapreduce.security.IntermediateEncryptedStream,0
org.apache.hadoop.mapreduce.protocol.ClientProtocolProvider,0
org.apache.hadoop.mapreduce.protocol.ClientProtocol,0
org.apache.hadoop.mapreduce.protocol.package-info,0
org.apache.hadoop.mapreduce.counters.CounterGroupBase,3
org.apache.hadoop.mapreduce.counters.AbstractCounterGroup,3
org.apache.hadoop.mapreduce.counters.FrameworkCounterGroup,3
org.apache.hadoop.mapreduce.counters.Limits,3
org.apache.hadoop.mapreduce.counters.package-info,0
org.apache.hadoop.mapreduce.counters.CounterGroupFactory,3
org.apache.hadoop.mapreduce.counters.FileSystemCounterGroup,3
org.apache.hadoop.mapreduce.counters.GenericCounter,3
org.apache.hadoop.mapreduce.counters.LimitExceededException,0
org.apache.hadoop.mapreduce.counters.AbstractCounter,3
org.apache.hadoop.mapreduce.counters.AbstractCounters,3
org.apache.hadoop.mapreduce.v2.LogParams,2
org.apache.hadoop.mapreduce.util.CountersStrings,3
org.apache.hadoop.mapreduce.util.ProcessTree,0
org.apache.hadoop.mapreduce.util.HostUtil,2
org.apache.hadoop.mapreduce.util.ResourceBundles,7
org.apache.hadoop.mapreduce.util.package-info,0
org.apache.hadoop.mapreduce.util.ConfigUtil,0
org.apache.hadoop.mapreduce.util.JobHistoryEventUtils,2
org.apache.hadoop.mapreduce.util.MRJobConfUtil,0
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointID,4
org.apache.hadoop.mapreduce.checkpoint.TaskCheckpointID,4
org.apache.hadoop.mapreduce.checkpoint.EnumCounter,0
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointService,4
org.apache.hadoop.mapreduce.checkpoint.CheckpointService,4
org.apache.hadoop.mapreduce.checkpoint.RandomNameCNS,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointNamingService,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.SimpleNamingService,0
org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager,0
org.apache.hadoop.mapreduce.filecache.package-info,0
org.apache.hadoop.mapreduce.filecache.DistributedCache,0
org.apache.hadoop.mapreduce.tools.CLI,0
org.apache.hadoop.mapreduce.task.annotation.Checkpointable,0
org.apache.hadoop.mapreduce.task.reduce.ShuffleHeader,1
org.apache.hadoop.mapreduce.task.reduce.EventFetcher,1
org.apache.hadoop.mapreduce.task.reduce.LocalFetcher,1
org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl,1
org.apache.hadoop.mapreduce.task.reduce.ShuffleScheduler,1
org.apache.hadoop.mapreduce.task.reduce.MapHost,1
org.apache.hadoop.mapreduce.task.reduce.IFileWrappedMapOutput,1
