Baseline File,Target File,Target Path,A2A Score,Cvg (Baseline -> Target),Cvg (Target -> Baseline)
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.3_clusters_12\output.rsf,60.47409040793825,0.02,0.08333333333333333
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.3_clusters_16\output.rsf,61.05610561056105,0.02,0.0625
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.3_clusters_8\output.rsf,58.7292817679558,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.5_clusters_12\output.rsf,60.52921719955899,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.5_clusters_16\output.rsf,60.781078107810785,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.5_clusters_8\output.rsf,58.563535911602216,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.7_clusters_12\output.rsf,60.198456449834616,0.02,0.08333333333333333
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.7_clusters_16\output.rsf,61.27612761276128,0.04,0.125
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\granite-embedding-english-r2\alpha_0.7_clusters_8\output.rsf,58.83977900552486,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.3_clusters_12\output.rsf,60.47409040793825,0.02,0.08333333333333333
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.3_clusters_16\output.rsf,61.55115511551155,0.02,0.0625
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.3_clusters_8\output.rsf,58.78453038674033,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.5_clusters_12\output.rsf,59.922822491730976,0.02,0.08333333333333333
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.5_clusters_16\output.rsf,61.111111111111114,0.02,0.0625
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.5_clusters_8\output.rsf,58.066298342541444,0.0,0.0
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.7_clusters_12\output.rsf,60.033076074972435,0.02,0.08333333333333333
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.7_clusters_16\output.rsf,61.606160616061615,0.02,0.0625
mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,output.rsf,D:\Upb\dsse\group8_hadoop_mapReduce\Semantic_Clustering & Evaluation\Harsh_Savani\jina-code-embeddings-0.5b\alpha_0.7_clusters_8\output.rsf,58.34254143646409,0.0,0.0
