Full_Class_Name,Cluster_ID
org.apache.hadoop.mapreduce.ContextFactory,8
org.apache.hadoop.mapreduce.TaskCounter,1
org.apache.hadoop.mapreduce.OutputCommitter,5
org.apache.hadoop.mapreduce.TaskReport,1
org.apache.hadoop.mapreduce.RecordReader,4
org.apache.hadoop.mapreduce.Counters,6
org.apache.hadoop.mapreduce.ID,1
org.apache.hadoop.mapreduce.SharedCacheConfig,6
org.apache.hadoop.mapreduce.JobSubmissionFiles,1
org.apache.hadoop.mapreduce.TaskInputOutputContext,1
org.apache.hadoop.mapreduce.MRJobConfig,1
org.apache.hadoop.mapreduce.JobSubmitter,8
org.apache.hadoop.mapreduce.ClusterMetrics,1
org.apache.hadoop.mapreduce.MapContext,1
org.apache.hadoop.mapreduce.MarkableIterator,3
org.apache.hadoop.mapreduce.TaskCompletionEvent,1
org.apache.hadoop.mapreduce.JobStatus,1
org.apache.hadoop.mapreduce.FileSystemCounter,1
org.apache.hadoop.mapreduce.MarkableIteratorInterface,3
org.apache.hadoop.mapreduce.OutputFormat,5
org.apache.hadoop.mapreduce.QueueInfo,1
org.apache.hadoop.mapreduce.Mapper,1
org.apache.hadoop.mapreduce.RecordWriter,5
org.apache.hadoop.mapreduce.TaskType,1
org.apache.hadoop.mapreduce.JobPriority,1
org.apache.hadoop.mapreduce.JobContext,8
org.apache.hadoop.mapreduce.JobResourceUploader,8
org.apache.hadoop.mapreduce.CryptoUtils,8
org.apache.hadoop.mapreduce.TaskTrackerInfo,1
org.apache.hadoop.mapreduce.TaskAttemptID,1
org.apache.hadoop.mapreduce.JobID,1
org.apache.hadoop.mapreduce.TaskAttemptContext,1
org.apache.hadoop.mapreduce.QueueState,1
org.apache.hadoop.mapreduce.Cluster,8
org.apache.hadoop.mapreduce.InputSplit,4
org.apache.hadoop.mapreduce.StatusReporter,1
org.apache.hadoop.mapreduce.MRConfig,1
org.apache.hadoop.mapreduce.Counter,6
org.apache.hadoop.mapreduce.InputFormat,4
org.apache.hadoop.mapreduce.Job,8
org.apache.hadoop.mapreduce.Partitioner,3
org.apache.hadoop.mapreduce.ReduceContext,1
org.apache.hadoop.mapreduce.JobACL,1
org.apache.hadoop.mapreduce.CounterGroup,6
org.apache.hadoop.mapreduce.TaskID,1
org.apache.hadoop.mapreduce.Reducer,6
org.apache.hadoop.mapreduce.JobCounter,1
org.apache.hadoop.mapreduce.QueueAclsInfo,1
org.apache.hadoop.mapreduce.CustomJobEndNotifier,1
org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,9
org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,9
org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,9
org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,9
org.apache.hadoop.mapreduce.jobhistory.EventWriter,9
org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,9
org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,9
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,9
org.apache.hadoop.mapreduce.jobhistory.HumanReadableHistoryViewerPrinter,9
org.apache.hadoop.mapreduce.jobhistory.package-info,1
org.apache.hadoop.mapreduce.jobhistory.HistoryEvent,9
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptStartedEvent,9
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptFinishedEvent,9
org.apache.hadoop.mapreduce.jobhistory.EventReader,9
org.apache.hadoop.mapreduce.jobhistory.JobInitedEvent,9
org.apache.hadoop.mapreduce.jobhistory.JobPriorityChangeEvent,9
org.apache.hadoop.mapreduce.jobhistory.TaskUpdatedEvent,9
org.apache.hadoop.mapreduce.jobhistory.JobSubmittedEvent,9
