Algorithm,Measure,Target_Clusters,Filename,Actual_Clusters,Total_Files,Largest_Cluster_Name,Largest_Cluster_Size,Largest_Cluster_Percentage,Similarity_Score
LIMBO,LIMBO,UEMNM,mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf,50,544,0,495,90.99,13.87
LIMBO,LIMBO,UEM,mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf,50,544,0,495,90.99,13.87
LIMBO,IL,20,mapreduceclientcore-1_IL_20_clusters.rsf,20,544,1,232,42.65,24.84
LIMBO,IL,25,mapreduceclientcore-1_IL_25_clusters.rsf,25,544,1,232,42.65,24.9
LIMBO,IL,30,mapreduceclientcore-1_IL_30_clusters.rsf,30,544,1,150,27.57,28.31
LIMBO,IL,40,mapreduceclientcore-1_IL_40_clusters.rsf,40,544,1,150,27.57,25.95
LIMBO,IL,50,mapreduceclientcore-1_IL_50_clusters.rsf,50,544,2,94,17.28,26.84
LIMBO,IL,55,mapreduceclientcore-1_IL_55_clusters.rsf,55,544,2,94,17.28,24.64
LIMBO,IL,60,mapreduceclientcore-1_IL_60_clusters.rsf,60,544,2,94,17.28,24.51
LIMBO,IL,75,mapreduceclientcore-1_IL_75_clusters.rsf,75,544,2,94,17.28,20.85
LIMBO,IL,94,mapreduceclientcore-1_IL_94_clusters.rsf,94,544,2,62,11.4,16.84
LIMBO,IL,100,mapreduceclientcore-1_IL_100_clusters.rsf,100,544,2,62,11.4,15.34
LIMBO,IL,144,mapreduceclientcore-1_IL_144_clusters.rsf,144,544,3,46,8.46,11.47
LIMBO,IL,150,mapreduceclientcore-1_IL_150_clusters.rsf,150,544,3,46,8.46,11.38
LIMBO,IL,194,mapreduceclientcore-1_IL_194_clusters.rsf,194,544,3,46,8.46,8.37
LIMBO,IL,244,mapreduceclientcore-1_IL_244_clusters.rsf,244,544,3,46,8.46,6.09
LIMBO,IL,294,mapreduceclientcore-1_IL_294_clusters.rsf,294,544,3,46,8.46,4.98
LIMBO,IL,344,mapreduceclientcore-1_IL_344_clusters.rsf,344,544,3,46,8.46,4.07
LIMBO,IL,394,mapreduceclientcore-1_IL_394_clusters.rsf,394,544,3,46,8.46,3.38
LIMBO,IL,444,mapreduceclientcore-1_IL_444_clusters.rsf,444,544,3,46,8.46,2.6
LIMBO,IL,494,mapreduceclientcore-1_IL_494_clusters.rsf,494,544,3,46,8.46,1.32
