Algorithm,Measure,Target_Clusters,Filename,Actual_Clusters,Total_Files,Largest_Cluster_Name,Largest_Cluster_Size,Largest_Cluster_Percentage,Similarity_Score
WCA,UEM,,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf,75,544,0,71,13.05,37.64
WCA,UEM,20,mapreduceclientcore-1_UEM_20_clusters.rsf,20,544,0,525,96.51,14.87
WCA,UEMNM,25,mapreduceclientcore-1_UEMNM_25_clusters.rsf,25,544,0,520,95.59,14.87
WCA,UEM,25,mapreduceclientcore-1_UEM_25_clusters.rsf,25,544,0,520,95.59,14.87
WCA,UEM,30,mapreduceclientcore-1_UEM_30_clusters.rsf,30,544,0,515,94.67,14.98
WCA,UEM,40,mapreduceclientcore-1_UEM_40_clusters.rsf,40,544,0,505,92.83,14.28
WCA,UEMNM,50,mapreduceclientcore-1_UEMNM_50_clusters.rsf,50,544,0,495,90.99,13.87
WCA,UEM,50,mapreduceclientcore-1_UEM_50_clusters.rsf,50,544,0,495,90.99,13.87
WCA,UEM,60,mapreduceclientcore-1_UEM_60_clusters.rsf,60,544,0,485,89.15,13.97
WCA,UEMNM,80,mapreduceclientcore-1_UEMNM_80_clusters.rsf,80,544,0,86,15.81,41.16
WCA,UEMNM,90,mapreduceclientcore-1_UEMNM_90_clusters.rsf,90,544,1,44,8.09,33.31
WCA,UEMNM,100,mapreduceclientcore-1_UEMNM_100_clusters.rsf,100,544,77,30,5.51,30.52
WCA,UEM,100,mapreduceclientcore-1_UEM_100_clusters.rsf,100,544,5,25,4.6,28.58
WCA,UEMNM,110,mapreduceclientcore-1_UEMNM_110_clusters.rsf,110,544,85,24,4.41,26.5
WCA,UEMNM,120,mapreduceclientcore-1_UEMNM_120_clusters.rsf,120,544,94,24,4.41,24.46
WCA,UEMNM,150,mapreduceclientcore-1_UEMNM_150_clusters.rsf,150,544,23,20,3.68,20.01
WCA,UEM,150,mapreduceclientcore-1_UEM_150_clusters.rsf,150,544,66,14,2.57,17.01
