algorithm,measure,serial_threshold,stop_threshold,filename,rsf_path,cluster_count,total_entities,largest_cluster_size,largest_cluster_pct,smallest_cluster_size,average_cluster_size,singleton_count
LIMBO,IL,25,25,mapreduceclientcore_algo-limbo_measure-il_serial-25_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-25_stop-25.rsf,25,544,232,42.65,3,21.76,0
LIMBO,IL,30,25,mapreduceclientcore_algo-limbo_measure-il_serial-30_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-30_stop-25.rsf,30,544,150,27.57,3,18.13,0
LIMBO,IL,40,25,mapreduceclientcore_algo-limbo_measure-il_serial-40_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-40_stop-25.rsf,40,544,150,27.57,3,13.6,0
LIMBO,IL,50,25,mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf,50,544,94,17.28,2,10.88,0
LIMBO,IL,60,25,mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-25.rsf,60,544,94,17.28,2,9.07,0
LIMBO,IL,70,25,mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-25.rsf,70,544,94,17.28,2,7.77,0
LIMBO,IL,80,25,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-25.rsf,80,544,94,17.28,1,6.8,1
LIMBO,IL,90,25,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-25.rsf,90,544,62,11.4,1,6.04,1
LIMBO,IL,100,25,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-25.rsf,100,544,62,11.4,1,5.44,1
LIMBO,IL,110,25,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-25.rsf,110,544,62,11.4,1,4.95,1
LIMBO,IL,50,50,mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-50.rsf,50,544,94,17.28,2,10.88,0
LIMBO,IL,60,50,mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-50.rsf,60,544,94,17.28,2,9.07,0
LIMBO,IL,70,50,mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-50.rsf,70,544,94,17.28,2,7.77,0
LIMBO,IL,80,50,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-50.rsf,80,544,94,17.28,1,6.8,1
LIMBO,IL,90,50,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-50.rsf,90,544,62,11.4,1,6.04,1
LIMBO,IL,100,50,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-50.rsf,100,544,62,11.4,1,5.44,1
LIMBO,IL,110,50,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-50.rsf,110,544,62,11.4,1,4.95,1
LIMBO,IL,80,75,mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-75.rsf,80,544,94,17.28,1,6.8,1
LIMBO,IL,90,75,mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-75.rsf,90,544,62,11.4,1,6.04,1
LIMBO,IL,100,75,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-75.rsf,100,544,62,11.4,1,5.44,1
LIMBO,IL,110,75,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-75.rsf,110,544,62,11.4,1,4.95,1
LIMBO,IL,100,100,mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-100.rsf,100,544,62,11.4,1,5.44,1
LIMBO,IL,110,100,mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\LIMBO\mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-100.rsf,110,544,62,11.4,1,4.95,1
