run_id,algorithm,measure,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
1,WCA,UEMNM,100,82.25315355,0.02,mapreduceclientcore-1_UEMNM_100_clusters.rsf
2,WCA,UEMNM,110,81.07405803,0.027272727,mapreduceclientcore-1_UEMNM_110_clusters.rsf
3,WCA,UEMNM,120,80.29322984,0.025,mapreduceclientcore-1_UEMNM_120_clusters.rsf
4,WCA,UEMNM,150,78.37377607,0.02,mapreduceclientcore-1_UEMNM_150_clusters.rsf
5,WCA,UEMNM,25,80.08093525,0,mapreduceclientcore-1_UEMNM_25_clusters.rsf
6,WCA,UEMNM,50,78.61271676,0,mapreduceclientcore-1_UEMNM_50_clusters.rsf
7,WCA,UEMNM,80,84.59850812,0.0125,mapreduceclientcore-1_UEMNM_80_clusters.rsf
8,WCA,UEMNM,90,83.70467453,0.033333333,mapreduceclientcore-1_UEMNM_90_clusters.rsf
9,WCA,UEM,100,81.64419313,0.02,mapreduceclientcore-1_UEM_100_clusters.rsf
10,WCA,UEM,150,77.35206471,0.013333333,mapreduceclientcore-1_UEM_150_clusters.rsf
11,WCA,UEM,20,79.90085624,0,mapreduceclientcore-1_UEM_20_clusters.rsf
12,WCA,UEM,25,80.08093525,0,mapreduceclientcore-1_UEM_25_clusters.rsf
13,WCA,UEM,30,79.99102737,0,mapreduceclientcore-1_UEM_30_clusters.rsf
14,WCA,UEM,40,79.18713711,0,mapreduceclientcore-1_UEM_40_clusters.rsf
15,WCA,UEM,50,78.61271676,0,mapreduceclientcore-1_UEM_50_clusters.rsf
16,WCA,UEM,60,78.30898628,0,mapreduceclientcore-1_UEM_60_clusters.rsf
17,WCA,UEM,75,84.30079156,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf
18,LIMBO,IL,100,78.338408,0.01,mapreduceclientcore-1_IL_100_clusters.rsf
19,LIMBO,IL,144,76.22705933,0.006944444,mapreduceclientcore-1_IL_144_clusters.rsf
20,LIMBO,IL,150,76.03235419,0.006666667,mapreduceclientcore-1_IL_150_clusters.rsf
21,LIMBO,IL,194,73.92394484,0.005154639,mapreduceclientcore-1_IL_194_clusters.rsf
22,LIMBO,IL,20,85.3988283,0.1,mapreduceclientcore-1_IL_20_clusters.rsf
23,LIMBO,IL,244,71.87883749,0.004098361,mapreduceclientcore-1_IL_244_clusters.rsf
24,LIMBO,IL,25,85.52158273,0.08,mapreduceclientcore-1_IL_25_clusters.rsf
25,LIMBO,IL,294,70.19655034,0.003401361,mapreduceclientcore-1_IL_294_clusters.rsf
26,LIMBO,IL,30,85.73351279,0.066666667,mapreduceclientcore-1_IL_30_clusters.rsf
27,LIMBO,IL,344,68.61974046,0.002906977,mapreduceclientcore-1_IL_344_clusters.rsf
28,LIMBO,IL,394,67.14230621,0.002538071,mapreduceclientcore-1_IL_394_clusters.rsf
29,LIMBO,IL,40,85.17195176,0.05,mapreduceclientcore-1_IL_40_clusters.rsf
30,LIMBO,IL,444,65.64510026,0,mapreduceclientcore-1_IL_444_clusters.rsf
31,LIMBO,IL,494,63.42369105,0,mapreduceclientcore-1_IL_494_clusters.rsf
32,LIMBO,IL,50,84.17074255,0.02,mapreduceclientcore-1_IL_50_clusters.rsf
33,LIMBO,IL,55,83.45164153,0.018181818,mapreduceclientcore-1_IL_55_clusters.rsf
34,LIMBO,IL,60,83.17839752,0.016666667,mapreduceclientcore-1_IL_60_clusters.rsf
35,LIMBO,IL,75,81.75021988,0.013333333,mapreduceclientcore-1_IL_75_clusters.rsf
36,LIMBO,IL,94,79.28477976,0.010638298,mapreduceclientcore-1_IL_94_clusters.rsf
37,LIMBO,UEMNM,50,78.61271676,0,mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
38,LIMBO,UEM,50,78.61271676,0,mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
39,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_100,85.81649832,0.07,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_100_clusters.rsf
40,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_144,84.29752066,0.097222222,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_144_clusters.rsf
41,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_150,84.13025556,0.14,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_150_clusters.rsf
